Artista,Nacionalidad,Oyentes Mensuales Spotify,Lugar con más oyentes,Oyentes del país n°1
Bad Bunny,Puerto Rico,73.284.926,"1. Ciudad de México, México
2. Santiago, Chile",4.526.097
Peso Pluma,México,51.308.170,"Ciudad de México, México",5.042.911
Myke Towers,Puerto Rico,46.515.680,"1. Ciudad de México, México
2. Madrid, España
3. Santiago, Chile",2.564.060
Rauw Alejandro,Puerto Rico,44.662.168,"1. Ciudad de México, México
2. Madrid, España
3. Santiago, Chile",2.868.745
Bizarrap,Argentina,40.444.579,"1.  Ciudad de México, México
2. Madrid, España
3. Buenos Aires, Argentina
4. Santiago, Chile
5. Lima, Perú",2.503.084
Quevedo,España,37.599.589,"1. Madrid, España
2. Ciudad de México
3. Santiago, Chile",2.060.358
Bad Gyal,España,16.231.863,"1. Santiago, Chile
2. Madrid, España",1.019.484
Cris MJ,Chile,15.206.798,"Santiago, Chile",1.955.398